날짜,"설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대한민국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 러시아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 미국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대만","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 브라질","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 튀르키예","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 필리핀","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 이탈리아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 우크라이나",참고사항
2024년 9월 16일,"1,095",511,96,81,17,20,18,9,5,8,
2024년 9월 17일,"1,081",517,76,128,16,21,13,6,1,20,
2024년 9월 18일,"1,087",515,94,143,15,27,13,8,0,13,
2024년 9월 19일,"1,101",515,118,113,11,19,17,4,5,13,
2024년 9월 20일,"1,110",529,111,100,11,28,17,6,1,17,
2024년 9월 21일,"1,107",525,145,108,14,13,12,7,6,10,
2024년 9월 22일,"1,138",556,123,115,10,25,19,5,3,7,
2024년 9월 23일,"1,139",557,145,99,11,26,15,3,1,11,
2024년 9월 24일,"1,146",562,87,120,8,16,10,3,8,10,
2024년 9월 25일,"1,146",549,100,90,33,14,15,7,5,17,
2024년 9월 26일,"1,158",582,95,109,20,14,11,16,1,7,버전 출시: 100%를 대상으로 89 (72.10) 출시 시작됨.
2024년 9월 27일,"1,157",581,74,151,22,12,9,11,1,8,
2024년 9월 28일,"1,174",588,106,107,9,12,8,7,6,14,
2024년 9월 29일,"1,157",590,106,102,12,12,8,7,8,14,
2024년 9월 30일,"1,184",600,109,74,17,23,13,7,4,6,
2024년 10월 1일,"1,199",614,110,97,21,23,17,7,8,14,
2024년 10월 2일,"1,186",592,103,135,19,15,13,8,6,12,
2024년 10월 3일,"1,173",603,125,99,22,15,12,5,2,11,
2024년 10월 4일,"1,212",633,106,134,14,19,10,6,4,16,
2024년 10월 5일,"1,199",615,89,153,14,16,11,9,9,10,
2024년 10월 6일,"1,209",636,117,138,18,22,11,4,1,11,버전 출시: 100%를 대상으로 90 (72.11) 출시 시작됨.
2024년 10월 7일,"1,229",654,127,161,15,15,6,4,3,8,
2024년 10월 8일,"1,221",678,83,130,13,21,19,8,9,5,
2024년 10월 9일,"1,237",695,80,158,17,18,12,6,3,5,
2024년 10월 10일,"1,239",673,76,172,8,16,11,6,3,7,
2024년 10월 11일,"1,232",642,85,115,18,23,10,10,8,13,
2024년 10월 12일,"1,242",666,77,123,17,22,14,12,5,10,
2024년 10월 13일,"1,184",657,97,86,14,28,22,5,3,8,
2024년 10월 14일,"1,196",685,94,110,20,14,9,12,5,0,
2024년 10월 15일,"1,208",697,97,128,16,13,7,3,5,4,
2024년 10월 16일,"1,206",706,94,132,22,14,5,3,3,2,
2024년 10월 17일,"1,220",727,79,109,25,20,9,26,2,4,
2024년 10월 18일,"1,236",733,74,115,26,20,7,9,6,7,
2024년 10월 19일,"1,224",733,95,94,11,16,4,13,1,10,
2024년 10월 20일,"1,215",723,99,94,22,18,9,17,5,5,
2024년 10월 21일,"1,236",739,59,76,22,23,13,12,2,9,
2024년 10월 22일,"1,237",749,68,94,20,20,9,13,6,10,
2024년 10월 23일,"1,244",781,57,100,16,20,14,15,2,5,
2024년 10월 24일,"1,244",766,45,105,20,29,2,4,3,2,
2024년 10월 25일,"1,253",777,60,117,11,34,8,6,3,13,
2024년 10월 26일,"1,246",780,75,92,11,24,10,4,1,12,
2024년 10월 27일,"1,258",773,85,56,25,23,17,9,3,14,
2024년 10월 28일,"1,247",762,66,99,26,14,6,11,5,8,
2024년 10월 29일,"1,286",803,78,80,30,13,13,13,3,9,
2024년 10월 30일,"1,281",775,111,97,23,12,15,15,8,0,
2024년 10월 31일,"1,294",811,65,116,25,34,10,5,3,6,
2024년 11월 1일,"1,307",834,74,102,10,17,14,1,2,5,
2024년 11월 2일,"1,319",824,53,94,93,21,13,6,7,6,
2024년 11월 3일,"1,312",826,77,100,28,31,2,14,6,23,
2024년 11월 4일,"1,323",857,106,113,6,20,6,10,7,13,
2024년 11월 5일,"1,318",830,97,107,8,16,12,8,8,6,
2024년 11월 6일,"1,370",861,119,111,14,15,8,10,3,3,
2024년 11월 7일,"1,392",883,126,100,4,9,10,7,3,7,
2024년 11월 8일,"1,353",845,99,87,7,22,12,4,14,3,
2024년 11월 9일,"1,401",888,98,93,14,15,11,4,7,10,
2024년 11월 10일,"1,365",864,64,92,20,17,0,10,8,8,
2024년 11월 11일,"1,388",886,84,81,12,28,6,7,4,7,
2024년 11월 12일,"1,401",900,88,95,5,24,12,7,10,13,
2024년 11월 13일,"1,393",908,79,100,27,18,10,13,12,23,
2024년 11월 14일,"1,394",899,102,94,21,20,8,23,5,11,
2024년 11월 15일,"1,405",897,93,61,10,22,6,5,19,6,
2024년 11월 16일,"1,417",905,108,98,15,22,5,4,17,16,
2024년 11월 17일,"1,405",913,107,85,7,19,5,11,9,14,
2024년 11월 18일,"1,399",896,112,88,18,16,4,19,10,13,
2024년 11월 19일,"1,420",921,119,94,11,7,8,16,12,10,
2024년 11월 20일,"1,434",920,120,74,25,16,13,14,16,21,
2024년 11월 21일,"1,437",928,111,85,17,20,7,13,12,14,
2024년 11월 22일,"1,409",912,73,86,13,34,12,9,11,14,
2024년 11월 23일,"1,432",935,80,81,25,35,13,9,10,9,
2024년 11월 24일,"1,450",955,84,80,18,32,10,19,6,7,
2024년 11월 25일,"1,458",954,91,91,13,43,13,27,3,10,
2024년 11월 26일,"1,478",963,86,98,22,47,11,18,7,16,
2024년 11월 27일,"1,477",964,89,74,7,27,19,3,13,10,
2024년 11월 28일,"1,466",952,73,64,11,40,15,18,10,8,
2024년 11월 29일,"1,500",972,85,78,10,31,16,8,11,12,
2024년 11월 30일,"1,493",980,73,82,13,40,22,7,7,9,
2024년 12월 1일,"1,480",997,53,75,10,29,16,19,7,16,
2024년 12월 2일,"1,489",989,71,70,6,36,15,14,6,15,
2024년 12월 3일,"1,499","1,019",91,41,6,43,11,22,7,6,
2024년 12월 4일,"1,504","1,002",94,50,12,36,16,12,10,11,
2024년 12월 5일,"1,503",992,82,67,8,30,26,22,6,16,
2024년 12월 6일,"1,537","1,034",103,46,6,23,15,7,7,11,
2024년 12월 7일,"1,498","1,022",108,48,9,28,22,4,13,20,
2024년 12월 8일,"1,516","1,007",115,63,5,42,22,8,8,7,
2024년 12월 9일,"1,528","1,034",72,58,6,29,20,19,11,15,
2024년 12월 10일,"1,554","1,052",109,52,6,26,25,11,13,7,
2024년 12월 11일,"1,531","1,039",94,52,12,35,11,10,12,13,
2024년 12월 12일,"1,525","1,030",75,58,5,42,23,15,13,12,
2024년 12월 13일,"1,544","1,054",89,75,9,31,20,4,9,6,
2024년 12월 14일,"1,535","1,054",91,77,9,35,11,5,11,12,
2024년 12월 15일,"1,560","1,076",86,61,14,37,13,4,6,11,
2024년 12월 16일,"1,575","1,072",85,84,18,29,21,14,6,10,
2024년 12월 17일,"1,555","1,073",107,75,11,25,13,12,11,10,
2024년 12월 18일,"1,590","1,105",72,91,13,41,9,4,12,5,
2024년 12월 19일,"1,572","1,088",68,69,19,35,8,12,5,10,
2024년 12월 20일,"1,577","1,098",63,77,16,55,7,6,2,10,
2024년 12월 21일,"1,595","1,126",51,70,25,50,9,6,8,10,
2024년 12월 22일,"1,603","1,124",64,77,22,44,8,6,12,13,
2024년 12월 23일,"1,599","1,113",63,95,25,55,3,8,9,7,
2024년 12월 24일,"1,613","1,180",51,98,24,56,3,5,1,3,
2024년 12월 25일,"1,617","1,208",57,65,13,21,5,15,7,7,
2024년 12월 26일,"1,631","1,191",59,97,15,34,2,15,4,5,
2024년 12월 27일,"1,647","1,150",79,106,9,33,12,4,5,6,
2024년 12월 28일,"1,653","1,179",67,95,18,27,7,4,3,10,
2024년 12월 29일,"1,634","1,159",72,77,24,27,4,7,4,2,
2024년 12월 30일,"1,633","1,154",53,74,22,31,5,20,3,3,
2024년 12월 31일,"1,693","1,209",108,88,21,28,6,4,1,6,버전 출시: 100%를 대상으로 91 (72.12) 출시 시작됨.
2025년 1월 1일,"1,659","1,189",101,93,12,19,4,12,1,5,
2025년 1월 2일,"1,667","1,191",107,92,16,28,13,6,1,7,
2025년 1월 3일,"1,679","1,199",98,83,16,17,5,8,2,9,
2025년 1월 4일,"1,679","1,205",97,70,19,21,11,14,4,9,
2025년 1월 5일,"1,691","1,202",87,66,20,30,19,11,5,10,
2025년 1월 6일,"1,677","1,192",59,96,24,24,7,21,7,6,
2025년 1월 7일,"1,693","1,206",106,79,10,28,17,16,8,5,
2025년 1월 8일,"1,719","1,332",53,53,7,22,15,10,5,5,
2025년 1월 9일,"1,735","1,251",99,56,13,28,7,14,9,6,
2025년 1월 10일,"1,764","1,279",94,52,13,33,14,8,8,4,
2025년 1월 11일,"1,746","1,258",95,50,13,28,7,5,11,14,
2025년 1월 12일,"1,760","1,283",81,52,12,17,11,21,10,10,
2025년 1월 13일,"1,770","1,291",106,54,14,33,10,19,6,4,
2025년 1월 14일,"1,782","1,304",121,48,11,19,16,23,6,4,
2025년 1월 15일,"1,773","1,293",86,59,22,18,11,7,8,7,
2025년 1월 16일,"1,798","1,309",104,63,11,28,9,22,9,5,
2025년 1월 17일,"1,763","1,292",103,51,6,22,6,10,1,2,
2025년 1월 18일,"1,680","1,276",78,43,10,14,7,5,8,3,
2025년 1월 19일,"1,694","1,293",96,33,8,12,17,4,4,2,
2025년 1월 20일,"1,682","1,302",73,39,5,14,16,11,4,4,
2025년 1월 21일,"1,706","1,314",64,49,3,15,7,13,6,3,
2025년 1월 22일,"1,725","1,338",89,43,2,20,11,23,4,8,
2025년 1월 23일,"1,757","1,371",94,47,7,13,10,11,11,3,
2025년 1월 24일,"1,769","1,384",93,50,9,20,9,2,8,5,
2025년 1월 25일,"1,781","1,394",109,44,12,8,7,17,10,0,
2025년 1월 26일,"1,776","1,384",97,44,12,27,11,8,1,9,
2025년 1월 27일,"1,751","1,352",69,31,16,11,16,5,14,3,
2025년 1월 28일,"1,778","1,388",64,34,7,17,17,6,12,6,
2025년 1월 29일,"1,749","1,365",54,26,6,10,9,6,9,8,
2025년 1월 30일,"1,757","1,383",62,24,8,12,4,4,10,5,
2025년 1월 31일,"1,770","1,391",54,17,10,16,9,5,8,7,
2025년 2월 1일,"1,754","1,382",54,14,10,12,18,5,15,6,
2025년 2월 2일,"1,782","1,402",68,36,5,8,13,10,12,10,
2025년 2월 3일,"1,792","1,428",39,21,10,11,24,3,12,11,
2025년 2월 4일,"1,827","1,436",92,27,8,8,10,8,17,2,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"1,842","1,470",79,28,12,15,5,10,13,3,
2025년 2월 6일,"1,853","1,469",58,21,12,14,17,21,7,6,
2025년 2월 7일,"1,884","1,504",54,23,14,12,11,24,16,6,
2025년 2월 8일,"1,877","1,494",86,22,9,13,7,6,11,2,
2025년 2월 9일,"1,875","1,498",71,49,8,19,11,18,8,9,
2025년 2월 10일,"1,893","1,494",62,26,22,18,16,15,14,12,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"1,905","1,518",56,29,6,11,11,19,13,8,
2025년 2월 12일,"1,922","1,544",48,42,3,19,14,7,16,6,
2025년 2월 13일,"1,944","1,556",44,38,6,25,20,11,5,5,
2025년 2월 14일,"1,959","1,578",73,32,4,15,8,3,4,0,
2025년 2월 15일,"1,928","1,569",74,25,13,16,4,4,4,3,
2025년 2월 16일,"1,962","1,570",54,59,1,16,7,6,15,9,
2025년 2월 17일,"1,985","1,592",54,43,12,8,7,6,13,6,
2025년 2월 18일,"1,984","1,591",49,47,4,20,9,8,27,9,
2025년 2월 19일,"2,009","1,610",43,27,8,14,4,7,17,15,
2025년 2월 20일,"2,012","1,630",54,36,7,11,10,4,15,5,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"2,037","1,662",50,34,6,12,9,4,14,4,
2025년 2월 22일,"2,048","1,669",75,28,8,21,8,8,10,2,
2025년 2월 23일,"2,053","1,664",46,17,9,24,25,9,12,9,
